X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
328215.9037,668933.653,S01008574,1.71,284,2,24,Burdiehouse Burn Valley Park inc Moredun Wood,1585.62855,135663.3848,Liberton East - 02
327999.6644,669270,S01008575,1.71,284,2,22,Burdiehouse Burn Valley Park inc Moredun Wood,2733.695831,230384.0055,Liberton East - 03
327989.3008,669729,S01008576,0,1,1,2,Inch Park,2753.280893,239455.4326,Liberton East - 04
327489.5226,669344,S01008577,1.71,284,2,2,Burdiehouse Burn Valley Park inc Moredun Wood,3467.249782,269238.9865,Liberton West and Braid Hills - 01
327257.94,669774,S01008578,0,1,1,0,,2931.218433,186329.8719,Liberton West and Braid Hills - 02
325754.7875,669485.2245,S01008579,5.88,563,5,18,"Braidburn Valley Park,Hermitage of Braid/Blackford Hill & Pond,Mortonhall Caravan Park",12370.16728,3543361.622,Liberton West and Braid Hills - 03
327396.9684,670232,S01008580,2.3,373,3,36,Inch Park,2130.215525,138435.4423,Liberton West and Braid Hills - 04
327591.2725,670071.281,S01008581,2.3,373,3,10,Inch Park,2236.438799,128331.5992,The Inch - 01
327630.4084,669802.177,S01008582,0,1,1,2,Inch Park,2404.847964,165407.2415,The Inch - 02
327918.2416,670243,S01008583,2.3,373,3,16,"Inch Park,Craigmillar Castle Park inc Hawkhill",2081.191669,101990.3432,The Inch - 03
328295.3078,670305,S01008584,5.16,534,5,29,"Inch Park,Craigmillar Castle Park inc Hawkhill",2583.960956,111645.0337,The Inch - 04
328242.4015,670651.5,S01008585,5.16,534,5,58,"Inch Park,Craigmillar Castle Park inc Hawkhill",2840.101811,192085.9676,The Inch - 05
327963.6631,670691.5,S01008586,5.16,534,5,66,"Inch Park,Craigmillar Castle Park inc Hawkhill",3062.798314,153842.2896,The Inch - 06
326382.0323,670722.8755,S01008587,4.61,515,4,69,"Inch Park,Craigmillar Castle Park inc Hawkhill",8207.653167,1364072.221,"Blackford, West Mains and Mayfield Road - 01"
326179.9103,671032.5,S01008588,2.31,381,3,10,Hermitage of Braid/Blackford Hill & Pond,2482.45984,140170.4912,"Blackford, West Mains and Mayfield Road - 02"
326196.8859,671325.8045,S01008589,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1016.096788,56953.64769,"Blackford, West Mains and Mayfield Road - 03"
326362.8083,671193.6785,S01008590,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1635.508582,75495.62723,"Blackford, West Mains and Mayfield Road - 04"
326593.0466,671309.1995,S01008591,0,1,1,1,Hermitage of Braid/Blackford Hill & Pond,2453.139006,97605.88202,"Blackford, West Mains and Mayfield Road - 05"
326522.9795,670945,S01008592,2.31,381,3,6,Hermitage of Braid/Blackford Hill & Pond,1458.732997,104242.8835,"Blackford, West Mains and Mayfield Road - 06"
326849.1695,671057.5,S01008593,2.3,373,3,15,Inch Park,2477.141516,168953.229,"Blackford, West Mains and Mayfield Road - 07"
327011.1136,671377.4995,S01008594,2.3,373,3,25,"Inch Park,Craigmillar Castle Park inc Hawkhill",3417.912004,267231.357,"Blackford, West Mains and Mayfield Road - 08"
327815.7174,671454.212,S01008595,5.16,534,5,62,"Inch Park,Craigmillar Castle Park inc Hawkhill",3433.494446,271138.0984,Prestonfield - 01
327605.3603,671640.5935,S01008596,2.3,373,3,19,"Inch Park,Craigmillar Castle Park inc Hawkhill",2040.620812,104906.179,Prestonfield - 02
327893.9058,671962.5,S01008597,8.97,590,5,41,"Inch Park,Holyrood Park,Craigmillar Castle Park inc Hawkhill",4675.076971,653329.6532,Prestonfield - 03
327231.2611,671913,S01008598,2.3,373,3,3,Inch Park,1633.400782,74751.51447,Prestonfield - 04
327101.0936,671620,S01008599,2.3,373,3,27,"Inch Park,Craigmillar Castle Park inc Hawkhill",3254.50731,219502.3304,Newington and Dalkeith Road - 01
326848.6814,672031.407,S01008600,5.8,551,5,49,"Inch Park,Craigmillar Castle Park inc Hawkhill",2164.603662,151015.8163,Newington and Dalkeith Road - 02
326797.4228,672393.9495,S01008601,7.47,586,5,97,"Inch Park,Craigmillar Castle Park inc Hawkhill",3030.351665,249946.7978,Newington and Dalkeith Road - 03
326792.0098,672696.803,S01008602,7.47,586,5,98,"Inch Park,Craigmillar Castle Park inc Hawkhill",1631.837092,34212.02284,Newington and Dalkeith Road - 04
326551.6533,672617.939,S01008603,7.47,586,5,95,"Inch Park,Craigmillar Castle Park inc Hawkhill",1822.746662,52949.35987,Newington and Dalkeith Road - 05
326562.6966,671875.9985,S01008604,5.8,551,5,39,"Inch Park,Craigmillar Castle Park inc Hawkhill",2351.790532,120567.1557,The Grange - 01
326325.6753,671984,S01008605,3.66,460,4,34,"Inch Park,Craigmillar Castle Park inc Hawkhill",1808.111246,75664.16466,The Grange - 02
326381.4131,671587.5,S01008606,0,1,1,0,,2157.93513,103557.8525,The Grange - 03
326160.8517,671762.4665,S01008607,3.66,460,4,20,The Meadows and Bruntsfield Links,3159.307674,166339.6804,The Grange - 04
325851.6075,671433,S01008608,2.31,381,3,7,Hermitage of Braid/Blackford Hill & Pond,2575.674085,152835.8905,The Grange - 05
325644.7639,671125.4995,S01008609,2.31,381,3,12,Hermitage of Braid/Blackford Hill & Pond,2844.113338,202188.9518,The Grange - 06
325675.6861,671886,S01008610,5.97,564,5,49,Hermitage of Braid/Blackford Hill & Pond,3089.378045,217452.6476,The Grange - 07
326170.7972,672220.3995,S01008611,5.8,551,5,56,Hermitage of Braid/Blackford Hill & Pond,1976.470005,89066.99983,Marchmont East and Sciennes - 01
326091.2359,672463,S01008612,5.8,551,5,68,Hermitage of Braid/Blackford Hill & Pond,1065.985906,43115.17064,Marchmont East and Sciennes - 02
325858.0644,672254.5,S01008613,3.66,460,4,72,Hermitage of Braid/Blackford Hill & Pond,1921.348748,116666.7009,Marchmont East and Sciennes - 03
325557.4978,672467.0005,S01008614,3.66,460,4,79,Hermitage of Braid/Blackford Hill & Pond,916.3051685,34327.41046,Marchmont East and Sciennes - 04
325677.4254,672252.5,S01008615,3.66,460,4,79,Hermitage of Braid/Blackford Hill & Pond,1851.998534,56185.35305,Marchmont East and Sciennes - 05
325530.693,672136.0985,S01008616,3.66,460,4,69,Hermitage of Braid/Blackford Hill & Pond,963.2781179,32412.50531,Marchmont East and Sciennes - 06
325328.9903,672046,S01008617,3.66,460,4,33,Hermitage of Braid/Blackford Hill & Pond,935.8710925,35777.95883,Marchmont West - 01
