X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area
327893.905790059,671962.499998529,S01008597,8.97,590,5,41,"Inch Park,Holyrood Park,Craigmillar Castle Park inc Hawkhill",4675.07697131,653329.653248
327231.261072248,671912.99999962,S01008598,2.3,373,3,3,Inch Park,1633.40078172,74751.514465
327101.09360007,671619.99999942,S01008599,2.3,373,3,27,"Inch Park,Craigmillar Castle Park inc Hawkhill",3254.50731037,219502.330377
326848.681358532,672031.406999183,S01008600,5.8,551,5,49,"Inch Park,Craigmillar Castle Park inc Hawkhill",2164.60366224,151015.816297
326797.422765133,672393.949499381,S01008601,7.47,586,5,97,"Inch Park,Craigmillar Castle Park inc Hawkhill",3030.35166514,249946.797817
326792.009809391,672696.802999455,S01008602,7.47,586,5,98,"Inch Park,Craigmillar Castle Park inc Hawkhill",1631.83709246,34212.0228444
326551.65332323,672617.939000867,S01008603,7.47,586,5,95,"Inch Park,Craigmillar Castle Park inc Hawkhill",1822.74666247,52949.359874
326562.696618395,671875.998499571,S01008604,5.8,551,5,39,"Inch Park,Craigmillar Castle Park inc Hawkhill",2351.7905315,120567.155681
326325.675328834,671983.99999921,S01008605,3.66,460,4,34,"Inch Park,Craigmillar Castle Park inc Hawkhill",1808.111246,75664.164662
326381.413050709,671587.499998615,S01008606,0,1,1,0,,2157.93512976,103557.852543
326160.851706393,671762.466500708,S01008607,3.66,460,4,20,The Meadows and Bruntsfield Links,3159.30767435,166339.680359
325851.607490604,671433.0,S01008608,2.31,381,3,7,Hermitage of Braid/Blackford Hill & Pond,2575.67408511,152835.890544
325644.763932467,671125.499500926,S01008609,2.31,381,3,12,Hermitage of Braid/Blackford Hill & Pond,2844.11333799,202188.9518
325675.686058559,671886.0,S01008610,5.97,564,5,49,Hermitage of Braid/Blackford Hill & Pond,3089.37804502,217452.647622
326170.797203999,672220.39949903,S01008611,5.8,551,5,56,Hermitage of Braid/Blackford Hill & Pond,1976.47000499,89066.999834
326091.235911233,672463.0,S01008612,5.8,551,5,68,Hermitage of Braid/Blackford Hill & Pond,1065.98590632,43115.170641
325858.064414809,672254.499999964,S01008613,3.66,460,4,72,Hermitage of Braid/Blackford Hill & Pond,1921.34874775,116666.700877
325557.497787666,672467.000499973,S01008614,3.66,460,4,79,Hermitage of Braid/Blackford Hill & Pond,916.305168459,34327.410461
325677.425364878,672252.500000185,S01008615,3.66,460,4,79,Hermitage of Braid/Blackford Hill & Pond,1851.99853418,56185.3530535
325530.69296562,672136.09849966,S01008616,3.66,460,4,69,Hermitage of Braid/Blackford Hill & Pond,963.278117881,32412.50531
325328.990251217,672046.0,S01008617,3.66,460,4,33,Hermitage of Braid/Blackford Hill & Pond,935.871092525,35777.9588319
325386.573831716,672148.923499992,S01008618,3.66,460,4,47,Hermitage of Braid/Blackford Hill & Pond,814.919655182,27307.2834985
325262.029012094,672223.325,S01008619,3.66,460,4,44,Hermitage of Braid/Blackford Hill & Pond,740.196338412,22274.6936335
325400.957800523,672305.776999346,S01008620,3.66,460,4,56,Hermitage of Braid/Blackford Hill & Pond,840.000995796,28806.058429
325243.780485688,672384.380999725,S01008621,3.66,460,4,72,Hermitage of Braid/Blackford Hill & Pond,1037.71886806,24968.01234
325087.561849556,672355.518000603,S01008622,3.66,460,4,45,Hermitage of Braid/Blackford Hill & Pond,753.785612938,18128.6993626
325071.016862211,672080.646000453,S01008623,3.66,460,4,44,Hermitage of Braid/Blackford Hill & Pond,2405.64878903,149907.560099
325362.633868501,671440.499000504,S01008624,5.97,564,5,29,Hermitage of Braid/Blackford Hill & Pond,4422.93401119,444288.833329
325088.740671466,670726.499999795,S01008625,2.31,381,3,16,"Hermitage of Braid/Blackford Hill & Pond,Braidburn Valley Park",2697.50275164,243698.115289
324666.468558769,670513.000500142,S01008626,5.09,532,5,12,"Hermitage of Braid/Blackford Hill & Pond,Braidburn Valley Park",2203.33405609,146350.086876
324698.461459979,670840.0,S01008627,2.31,381,3,12,"Hermitage of Braid/Blackford Hill & Pond,Braidburn Valley Park",2324.65621362,173225.162968
