datazone_code,datazone_name,greenspace_name
S01008705,Craigmillar - 05,Duddingston Loch and Bird Sanctuary 
S01008706,Niddrie - 01,Jewel Park 
S01008706,Niddrie - 01,Hunters Hall Park (JKC) 
S01008707,Niddrie - 02,Craigmillar Castle Park inc Hawkhill 
S01008707,Niddrie - 02,Hunters Hall Park (JKC) 
S01008707,Niddrie - 02,Jewel Park 
S01008708,Niddrie - 03,Hunters Hall Park (JKC) 
S01008708,Niddrie - 03,Jewel Park 
S01008709,Niddrie - 04,Jewel Park 
S01008709,Niddrie - 04,Hunters Hall Park (JKC) 
S01008710,Niddrie - 05,Jewel Park 
S01008710,Niddrie - 05,Hunters Hall Park (JKC) 
S01008711,Niddrie - 06,Jewel Park 
S01008711,Niddrie - 06,Hunters Hall Park (JKC) 
S01008712,"Bingham, Magdalene and The Christians - 01",Jewel Park 
S01008712,"Bingham, Magdalene and The Christians - 01",Hunters Hall Park (JKC) 
S01008713,"Bingham, Magdalene and The Christians - 02",Jewel Park 
S01008714,"Bingham, Magdalene and The Christians - 03",Jewel Park 
S01008715,"Bingham, Magdalene and The Christians - 04",Jewel Park 
S01008716,"Bingham, Magdalene and The Christians - 05",-
S01008717,"Jewel, Brunstane and Newcraighall - 01",Jewel Park 
S01008718,"Jewel, Brunstane and Newcraighall - 02",Hunters Hall Park (JKC) 
S01008718,"Jewel, Brunstane and Newcraighall - 02",Jewel Park 
S01008719,"Jewel, Brunstane and Newcraighall - 03",Hunters Hall Park (JKC) 
S01008719,"Jewel, Brunstane and Newcraighall - 03",Jewel Park 
S01008720,"Jewel, Brunstane and Newcraighall - 04",Hunters Hall Park (JKC) 
S01008720,"Jewel, Brunstane and Newcraighall - 04",Jewel Park 
S01008721,"Jewel, Brunstane and Newcraighall - 05",-
S01008722,Joppa - 01,-
S01008723,Joppa - 02,-
S01008724,Joppa - 03,-
S01008725,Joppa - 04,-
S01008726,Joppa - 05,-
S01008727,Joppa - 06,-
S01008728,Portobello - 01,Figgate Burn Park 
S01008729,Portobello - 02,Figgate Burn Park 
S01008730,Portobello - 03,Figgate Burn Park 
S01008731,Portobello - 04,Figgate Burn Park 
S01008732,Portobello - 05,Figgate Burn Park 
S01008733,Portobello - 06,Figgate Burn Park 
S01008734,Duddingston and Portobello South - 01,Jewel Park 
S01008734,Duddingston and Portobello South - 01,Figgate Burn Park 
S01008735,Duddingston and Portobello South - 02,Jewel Park 
S01008735,Duddingston and Portobello South - 02,Figgate Burn Park 
S01008736,Duddingston and Portobello South - 03,Jewel Park 
S01008736,Duddingston and Portobello South - 03,Figgate Burn Park 
S01008737,Duddingston and Portobello South - 04,Jewel Park 
S01008737,Duddingston and Portobello South - 04,Figgate Burn Park 
S01008738,Duddingston and Portobello South - 05,Figgate Burn Park 
S01008739,Mountcastle - 01,Figgate Burn Park 
S01008740,Mountcastle - 02,Figgate Burn Park 
S01008741,Mountcastle - 03,Figgate Burn Park 
S01008742,Mountcastle - 04,Holyrood Park 
S01008742,Mountcastle - 04,Figgate Burn Park 
S01008743,Northfield and Piershill - 01,Meadowfield Park 
S01008743,Northfield and Piershill - 01,Figgate Burn Park 
S01008744,Northfield and Piershill - 02,Holyrood Park 
S01008744,Northfield and Piershill - 02,Meadowfield Park 
S01008744,Northfield and Piershill - 02,Figgate Burn Park 
S01008745,Northfield and Piershill - 03,Holyrood Park 
S01008745,Northfield and Piershill - 03,Meadowfield Park 
S01008746,Northfield and Piershill - 04,Holyrood Park 
S01008746,Northfield and Piershill - 04,Meadowfield Park 
S01008747,Craigentinny - 01,Figgate Burn Park 
S01008748,Craigentinny - 02,-
